state,period_id,transaction_count_difference,transaction_amount_difference,registered_users_difference,registered_merchants_difference
karnataka,8091,0,0.01513671875,0,0
karnataka,8092,0,0.029296875,0,0
karnataka,8093,0,-0.0322265625,0,0
karnataka,8094,0,0.03271484375,0,0
karnataka,8095,0,0.04541015625,0,0
karnataka,8096,0,0.04931640625,0,0
karnataka,8097,0,0.08740234375,0,0
karnataka,8098,0,0.0244140625,0,0
karnataka,8099,0,0.0048828125,0,0
karnataka,8100,0,0.0283203125,0,0
karnataka,8101,0,-0.009765625,0,0
karnataka,8102,0,0.03759765625,0,0
karnataka,8103,0,0.02734375,0,0
karnataka,8104,0,-0.0166015625,0,0
karnataka,8105,0,-0.0908203125,0,0
kerala,8072,0,2.4318695068359375e-05,0,0
kerala,8073,0,7.43865966796875e-05,0,0
kerala,8074,0,-1.430511474609375e-05,0,0
kerala,8075,0,4.1961669921875e-05,0,0
kerala,8076,0,-0.000148773193359375,0,0
kerala,8077,0,-5.7220458984375e-05,0,0
kerala,8078,0,2.47955322265625e-05,0,0
kerala,8079,0,6.103515625e-05,0,0
kerala,8080,0,8.392333984375e-05,0,0
kerala,8081,0,6.866455078125e-05,0,0
kerala,8082,0,-0.0001678466796875,0,0
kerala,8083,0,0.00011444091796875,0,0
kerala,8084,0,0.0001220703125,0,0
kerala,8085,0,-0.0001373291015625,0,0
