state,district,year,quarter,period_id,transaction_count,transaction_amount,registered_users,registered_merchants
andhra pradesh,annamayya,2026,2,8105,96492048,153851950124.24747,1083722,50051
andhra pradesh,bapatla,2018,1,8072,229517,242988356.90388915,64000,
andhra pradesh,bapatla,2018,2,8073,299401,479262144.87631744,85460,
andhra pradesh,bapatla,2018,3,8074,426986,679980057.7808056,105361,4
andhra pradesh,bapatla,2018,4,8075,677150,1034424941.1905072,134442,49
andhra pradesh,bapatla,2019,1,8076,1243806,1711130282.7739277,162190,289
andhra pradesh,bapatla,2019,2,8077,1286203,2493688003.7399354,184662,1344
andhra pradesh,bapatla,2019,3,8078,1432689,2926487498.331681,206625,2122
andhra pradesh,bapatla,2019,4,8079,2043598,4243343808.455758,233698,3438
andhra pradesh,bapatla,2020,1,8080,2662176,5773812974.40466,261434,4788
andhra pradesh,bapatla,2020,2,8081,3615164,7934519517.453887,291185,5354
andhra pradesh,bapatla,2020,3,8082,4928079,12188566570.212488,321555,6266
andhra pradesh,bapatla,2020,4,8083,6157484,15574208444.04879,352265,10616
andhra pradesh,bapatla,2021,1,8084,6777327,17036422658.583376,378697,14486
andhra pradesh,bapatla,2021,2,8085,9238117,23481021709.149586,404689,16450
andhra pradesh,bapatla,2021,3,8086,11092554,27135526074.43815,430725,19322
andhra pradesh,bapatla,2021,4,8087,11521970,27548350420.045963,456476,22320
andhra pradesh,bapatla,2022,1,8088,14768040,35475914630.69517,479852,24596
andhra pradesh,bapatla,2022,2,8089,17429587,40846402347.77646,503598,27091
andhra pradesh,bapatla,2022,3,8090,19745446,43978150389.262375,527132,29338
andhra pradesh,bapatla,2022,4,8091,21369719,45758592276.08678,550482,32071
andhra pradesh,bapatla,2023,1,8092,23849860,50991963682.84761,571187,33356
andhra pradesh,bapatla,2023,2,8093,27976201,57898503425.13078,591911,34438
andhra pradesh,bapatla,2023,3,8094,31529317,60823930169.7263,612807,36558
andhra pradesh,bapatla,2023,4,8095,34113263,63895148551.45857,631046,38664
andhra pradesh,bapatla,2024,1,8096,38082851,69016848910.18828,651309,41401
andhra pradesh,bapatla,2024,2,8097,43163841,74951923803.5917,674635,43246
andhra pradesh,bapatla,2024,3,8098,46034879,74194044124.31155,695675,44891
andhra pradesh,bapatla,2024,4,8099,50768885,79533690852.41502,719172,46926
andhra pradesh,bapatla,2025,1,8100,53420077,85125405297.1721,740410,48682
andhra pradesh,bapatla,2025,2,8101,57425662,88096110813.95103,762884,50434
andhra pradesh,bapatla,2025,3,8102,60133268,88034252414.63191,787278,52230
andhra pradesh,bapatla,2025,4,8103,63443545,92524924649.82959,808451,54186
andhra pradesh,bapatla,2026,1,8104,68137122,102063877842.64697,827051,56499
andhra pradesh,bapatla,2026,2,8105,74429207,109531301288.45459,832865,59133
andhra pradesh,chittoor,2018,1,8072,305531,348548227.2829588,84412,4
andhra pradesh,chittoor,2018,2,8073,418565,652457572.096351,113609,4
andhra pradesh,chittoor,2018,3,8074,715707,1040993519.6714927,142178,28
andhra pradesh,chittoor,2018,4,8075,1053499,1591440675.8530421,186219,196
andhra pradesh,chittoor,2019,1,8076,2080673,2712181636.150385,227944,2812
andhra pradesh,chittoor,2019,2,8077,2152205,4092866071.1552467,260413,4899
andhra pradesh,chittoor,2019,3,8078,2502532,5029987006.006824,293437,6378
andhra pradesh,chittoor,2019,4,8079,3594062,7110687747.503808,332108,7673
andhra pradesh,chittoor,2020,1,8080,4519618,9116779374.090832,369265,8609
andhra pradesh,chittoor,2020,2,8081,6159336,11890412846.712357,407209,9104
andhra pradesh,chittoor,2020,3,8082,8118971,17919094122.06436,446735,10528
andhra pradesh,chittoor,2020,4,8083,10257106,22579840856.015884,486648,14335
andhra pradesh,chittoor,2021,1,8084,10839846,23662611484.53707,520340,16912
andhra pradesh,chittoor,2021,2,8085,14262754,30953540305.671303,552599,18409
andhra pradesh,chittoor,2021,3,8086,16913631,36627482174.68804,587708,20702
andhra pradesh,chittoor,2021,4,8087,17409940,36009843768.26453,621979,24135
andhra pradesh,chittoor,2022,1,8088,22627161,46442554711.628685,652411,26469
andhra pradesh,chittoor,2022,2,8089,26421388,54011418909.15405,683304,28139
andhra pradesh,chittoor,2022,3,8090,29895775,60229771790.373505,714338,30044
andhra pradesh,chittoor,2022,4,8091,32085743,62189977338.80675,745082,31936
andhra pradesh,chittoor,2023,1,8092,35937809,68337589966.56085,771765,32547
andhra pradesh,chittoor,2023,2,8093,40709899,77137044812.03464,797657,33329
andhra pradesh,chittoor,2023,3,8094,44972627,82675053750.24768,824255,34747
andhra pradesh,chittoor,2023,4,8095,49341164,86369717998.04948,848297,36239
andhra pradesh,chittoor,2024,1,8096,54798676,92223086973.92352,875188,38215
andhra pradesh,chittoor,2024,2,8097,59454348,98923409271.55122,903680,39770
andhra pradesh,chittoor,2024,3,8098,65192721,104038143152.35315,932283,41192
andhra pradesh,chittoor,2024,4,8099,70708594,108380466539.57379,963845,42781
andhra pradesh,chittoor,2025,1,8100,74242897,112847835117.03088,991595,44181
andhra pradesh,chittoor,2025,2,8101,77471034,116200190979.6403,1020649,45499
andhra pradesh,chittoor,2025,3,8102,80376085,118062216546.63785,1053846,46790
andhra pradesh,chittoor,2025,4,8103,85272838,122474657948.22932,1081020,48235
andhra pradesh,chittoor,2026,1,8104,91197763,132653914130.77025,1104837,49320
andhra pradesh,chittoor,2026,2,8105,96240891,140514197718.7638,1126392,50979
andhra pradesh,dr br ambedkar konaseema,2018,1,8072,261840,350670534.89525974,72985,
andhra pradesh,dr br ambedkar konaseema,2018,2,8073,331324,599846876.8311005,94561,
andhra pradesh,dr br ambedkar konaseema,2018,3,8074,655761,800009435.6345792,116304,8
andhra pradesh,dr br ambedkar konaseema,2018,4,8075,719303,1122158281.4395673,145568,288
andhra pradesh,dr br ambedkar konaseema,2019,1,8076,1280034,1837276637.1222653,175714,3412
andhra pradesh,dr br ambedkar konaseema,2019,2,8077,1221211,2544087499.9517417,198455,5324
andhra pradesh,dr br ambedkar konaseema,2019,3,8078,1487946,3064505439.157621,223866,7222
andhra pradesh,dr br ambedkar konaseema,2019,4,8079,2164534,4641348111.35831,255452,8782
andhra pradesh,dr br ambedkar konaseema,2020,1,8080,2908567,6523037173.968378,288241,10272
andhra pradesh,dr br ambedkar konaseema,2020,2,8081,3566314,7683667025.022438,320573,10885
andhra pradesh,dr br ambedkar konaseema,2020,3,8082,4951485,11679337874.631319,355775,12718
andhra pradesh,dr br ambedkar konaseema,2020,4,8083,6567183,16606074006.85472,391706,16955
andhra pradesh,dr br ambedkar konaseema,2021,1,8084,7350929,18654844851.30346,421431,21071
andhra pradesh,dr br ambedkar konaseema,2021,2,8085,9778173,24437519706.265564,450459,22792
andhra pradesh,dr br ambedkar konaseema,2021,3,8086,11909182,28974224744.997177,481351,24966
andhra pradesh,dr br ambedkar konaseema,2021,4,8087,12726025,29506273063.87443,511078,27748
andhra pradesh,dr br ambedkar konaseema,2022,1,8088,16469121,38845577421.159584,537936,30195
andhra pradesh,dr br ambedkar konaseema,2022,2,8089,17474134,41126693302.65209,563673,31390
andhra pradesh,dr br ambedkar konaseema,2022,3,8090,21302395,46548045708.14266,591648,32653
andhra pradesh,dr br ambedkar konaseema,2022,4,8091,23965453,49658066643.07578,618288,33473
andhra pradesh,dr br ambedkar konaseema,2023,1,8092,27073706,56782301134.604675,642155,33515
andhra pradesh,dr br ambedkar konaseema,2023,2,8093,30897890,61822407082.25244,664562,33887
andhra pradesh,dr br ambedkar konaseema,2023,3,8094,34709315,64306614228.99516,687916,34647
andhra pradesh,dr br ambedkar konaseema,2023,4,8095,38841546,71723466807.71777,708572,35542
andhra pradesh,dr br ambedkar konaseema,2024,1,8096,44055400,79428295306.29172,731603,36711
andhra pradesh,dr br ambedkar konaseema,2024,2,8097,47483715,81012309556.29579,755473,37908
andhra pradesh,dr br ambedkar konaseema,2024,3,8098,51818341,82545134636.91882,778518,38481
andhra pradesh,dr br ambedkar konaseema,2024,4,8099,59347516,92662424806.39494,804838,39278
