state,district,min,max,count,internal_missing_periods
rajasthan,sri ganganagar,8072,8105,34,0
rajasthan,tonk,8072,8105,34,0
rajasthan,udaipur,8072,8105,34,0
sikkim,gangtok,8072,8105,34,0
sikkim,gyalshing,8072,8105,34,0
sikkim,mangan,8072,8105,34,0
sikkim,namchi,8072,8105,34,0
sikkim,pakyong,8072,8105,34,0
sikkim,soreng,8072,8105,34,0
tamil nadu,ariyalur,8072,8105,34,0
tamil nadu,chengalpattu,8072,8105,34,0
tamil nadu,chennai,8072,8105,34,0
tamil nadu,coimbatore,8072,8105,34,0
tamil nadu,cuddalore,8072,8105,34,0
tamil nadu,dharmapuri,8072,8105,34,0
tamil nadu,dindigul,8072,8105,34,0
tamil nadu,erode,8072,8105,34,0
tamil nadu,kallakurichi,8072,8105,34,0
tamil nadu,kancheepuram,8072,8105,34,0
tamil nadu,kanniyakumari,8072,8105,34,0
tamil nadu,karur,8072,8105,34,0
tamil nadu,krishnagiri,8072,8105,34,0
tamil nadu,madurai,8072,8105,34,0
tamil nadu,mayiladuthurai,8072,8105,34,0
tamil nadu,nagapattinam,8072,8105,34,0
tamil nadu,namakkal,8072,8105,34,0
tamil nadu,perambalur,8072,8105,34,0
tamil nadu,pudukkottai,8072,8105,34,0
tamil nadu,ramanathapuram,8072,8105,34,0
tamil nadu,ranipet,8072,8105,34,0
tamil nadu,salem,8072,8105,34,0
tamil nadu,sivaganga,8072,8105,34,0
tamil nadu,tenkasi,8072,8105,34,0
tamil nadu,thanjavur,8072,8105,34,0
tamil nadu,the nilgiris,8072,8105,34,0
tamil nadu,theni,8072,8105,34,0
tamil nadu,thoothukudi,8072,8105,34,0
tamil nadu,tiruchirappalli,8072,8105,34,0
tamil nadu,tirunelveli,8072,8105,34,0
tamil nadu,tirupathur,8072,8105,34,0
tamil nadu,tiruppur,8072,8105,34,0
tamil nadu,tiruvallur,8072,8105,34,0
tamil nadu,tiruvannamalai,8072,8105,34,0
tamil nadu,tiruvarur,8072,8105,34,0
tamil nadu,vellore,8072,8105,34,0
tamil nadu,viluppuram,8072,8105,34,0
tamil nadu,virudhunagar,8072,8105,34,0
telangana,adilabad,8072,8105,34,0
telangana,bhadradri kothagudem,8072,8105,34,0
telangana,hanumakonda,8072,8105,34,0
telangana,hyderabad,8072,8105,34,0
telangana,jagtial,8072,8105,34,0
telangana,jangaon,8072,8105,34,0
telangana,jayashankar bhupalpally,8072,8105,34,0
telangana,jogulamba gadwal,8072,8105,34,0
telangana,kamareddy,8072,8105,34,0
telangana,karimnagar,8072,8105,34,0
telangana,khammam,8072,8105,34,0
telangana,kumuram bheem asifabad,8072,8105,34,0
telangana,mahabubabad,8072,8105,34,0
telangana,mahabubnagar,8072,8105,34,0
telangana,mancherial,8072,8105,34,0
telangana,medak,8072,8105,34,0
telangana,medchal malkajgiri,8072,8105,34,0
telangana,mulugu,8072,8105,34,0
telangana,nagarkurnool,8072,8105,34,0
